superstar,stock,client,market,type,action type,Date,avg,count,change
Birla Group,Shriram Finance Ltd.,ADITYA BIRLA SUN LIFE MUTUAL FUND BIRLA SUN LIFE BANKING AND FINANCIAL SERVICES FUND,NSE,Block,Purchase,6/21/2023,1545,159356,0.0004
Birla Group,Shriram Finance Ltd.,ADITYA BIRLA SUN LIFE MUTUAL FUNDADITYA BIRLA SUN LIFE MUTUAL FUND BIRLA MIDCAP FUND,NSE,Block,Purchase,6/21/2023,1545,159356,0.0004
Birla Group,Shriram Finance Ltd.,ADITYA BIRLA SUN LIFE MUTUAL FUNDADITYA BIRLA SUN LIFE EQUITY HYBRID '95 FUND,NSE,Block,Purchase,6/21/2023,1545,106238,0.0003
Birla Group,Shriram Finance Ltd.,ADITYA BIRLA SUN LIFE MUTUAL FUNDADITYA BIRLA SUN LIFE DIVIDEND YIELD FUND,NSE,Block,Purchase,6/21/2023,1545,80741,0.0002
Birla Group,Shriram Finance Ltd.,ADITYA BIRLA SUN LIFE MUTUAL FUNDADITYA BIRLA SUN LIFE BALANCED ADVANTAGE FUND,NSE,Block,Purchase,6/21/2023,1545,65867,0.0002
Birla Group,Shriram Finance Ltd.,ADITYA BIRLA SUN LIFE MUTUAL FUND,NSE,Block,Purchase,6/21/2023,1545,53119,0.0001
Birla Group,Shriram Finance Ltd.,ADITYA BIRLA SUN LIFE MUTUAL FUND,NSE,Block,Purchase,6/21/2023,1545,27622,0.0001
Birla Group,"HDFC Asset Management Company Ltd.

10-year high Insider Trades",ADITYA BIRLA SUN LIFE MUTUAL FUND,BSE,Block,Purchase,6/20/2023,1873,92308,0.0004
Birla Group,"HDFC Asset Management Company Ltd.

10-year high Insider Trades",ADITYA BIRLA SUN LIFE MUTUAL FUND,BSE,Block,Purchase,6/20/2023,1873,69231,0.0003
Birla Group,"HDFC Asset Management Company Ltd.

10-year high Insider Trades",ADITYA BIRLA SUN LIFE MUTUAL FUND,BSE,Block,Purchase,6/20/2023,1873,69231,0.0003
Birla Group,"HDFC Asset Management Company Ltd.

10-year high Insider Trades",ADITYA BIRLA SUN LIFE MUTUAL FUND,BSE,Block,Purchase,6/20/2023,1873,34615,0.0002
Birla Group,"HDFC Asset Management Company Ltd.

10-year high Insider Trades",ADITYA BIRLA SUN LIFE MUTUAL FUND,BSE,Block,Purchase,6/20/2023,1873,34615,0.0002
Birla Group,Shriram Finance Ltd.,ADITYA BIRLA SUN LIFE MUTUAL FUND - ADITYA BIRLA SUN LIFE FLEXI CAP FUND,BSE,Block,Purchase,6/19/2023,1401,492277,0.0013
Birla Group,Shriram Finance Ltd.,ADITYA BIRLA SUN LIFE MUTUAL FUND - ADITYA BIRLA SUN LIFE FRONTLINE EQUITY FUND,BSE,Block,Purchase,6/19/2023,1401,410264,0.0011
Birla Group,Shriram Finance Ltd.,ADITYA BIRLA SUN LIFE MUTUAL FUND - ADITYA BIRLA SUN LIFE MIDCAP FUND,BSE,Block,Purchase,6/19/2023,1401,307673,0.0008
Birla Group,Shriram Finance Ltd.,ADITYA BIRLA SUN LIFE MUTUAL FUND - ADITYA BIRLA SUN LIFE EQUITY HYBRID '95 FUND,BSE,Block,Purchase,6/19/2023,1401,125358,0.0003
Birla Group,Shriram Finance Ltd.,ADITYA BIRLA SUN LIFE MUTUAL FUND - ADITYA BIRLA SUN LIFE BANKING AND FINANCIAL SERVICES FUND,BSE,Block,Purchase,6/19/2023,1401,121971,0.0003
Birla Group,Shriram Finance Ltd.,ADITYA BIRLA SUN LIFE MUTUAL FUND - ADITYA BIRLA SUN LIFE BUSINESS CYCLE FUND,BSE,Block,Purchase,6/19/2023,1401,82046,0.0002
Birla Group,Shriram Finance Ltd.,ADITYA BIRLA SUN LIFE MUTUAL FUND - ADITYA BIRLA SUN LIFE DIVIDEND YIELD FUND,BSE,Block,Purchase,6/19/2023,1401,60986,0.0002
Nalanda India Fund Limited,TCNS Clothing Co. Ltd.,NALANDA INDIA EQUITY FUND LIMITED,BSE,Bulk,Sell,9/4/2023,370.03,889635,0.0141
Nalanda India Fund Limited,TCNS Clothing Co. Ltd.,NALANDA INDIA EQUITY FUND LIMITED,NSE,Bulk,Sell,9/4/2023,370.19,509707,0.0081
Nalanda India Fund Limited,Voltamp Transformers Ltd.,NALANDA INDIA FUND LIMITED,NSE,Bulk,Sell,11/23/2022,2651.56,420000,0.0415
Nalanda India Fund Limited,"Advanced Enzyme Technologies Ltd.

Insider Trades",NALANDA INDIA EQUITY FUND LIMITED,NSE,Bulk,Purchase,9/19/2022,270.03,2911630,0.026
Nalanda India Fund Limited,Jyothy Labs Ltd.,NALANDA INDIA EQUITY FUND LIMITED,BSE,Bulk,Purchase,5/23/2022,154.98,6200000,0.0169
Nalanda India Fund Limited,"Advanced Enzyme Technologies Ltd.

Insider Trades",NALANDA INDIA EQUITY FUND LIMITED,BSE,Bulk,Purchase,2/25/2022,289.61,708000,0.0063
Nalanda India Fund Limited,"Advanced Enzyme Technologies Ltd.

Insider Trades",NALANDA INDIA EQUITY FUND LIMITED,NSE,Bulk,Purchase,2/25/2022,289.86,565000,0.0051
Nalanda India Fund Limited,"Kirloskar Oil Engines Ltd.

10-year high",NALANDA INDIA EQUITY FUND LTD,NSE,Bulk,Sell,12/3/2021,184.88,2021814,0.014
Nalanda India Fund Limited,"Kirloskar Oil Engines Ltd.

10-year high",NALANDA INDIA FUND LTD,NSE,Bulk,Sell,12/2/2021,180.92,2971430,0.0205
Nalanda India Fund Limited,"Kirloskar Oil Engines Ltd.

10-year high",NALANDA INDIA EQUITY FUND LTD,NSE,Bulk,Sell,12/2/2021,180.92,2228570,0.0154
Nalanda India Fund Limited,Kewal Kiran Clothing Ltd.,NALANDA INDIA FUND LIMITED,NSE,Bulk,Sell,10/11/2021,1052.19,700000,0.0114
Nalanda India Fund Limited,Just Dial Ltd.,NALANDA INDIA EQUITY FUND LIMITED,NSE,Bulk,Sell,10/1/2021,990.01,597482,0.007
Nalanda India Fund Limited,Just Dial Ltd.,NALANDA INDIA EQUITY FUND LIMITED,NSE,Bulk,Sell,9/30/2021,991.44,517765,0.0061
Nalanda India Fund Limited,Just Dial Ltd.,NALANDA INDIA EQUITY FUND LIMITED,NSE,Bulk,Sell,9/29/2021,990.01,1018295,0.012
Nalanda India Fund Limited,Thyrocare Technologies Ltd.,NALANDA INDIA EQUITY FUND LIMITED,NSE,Bulk,Sell,6/28/2021,1314.63,3709394,0.0701
Nalanda India Fund Limited,TCNS Clothing Co. Ltd.,NALANDA INDIA EQUITY FUND LIMITED,NSE,Bulk,Purchase,2/17/2021,412.31,4320661,0.0683
Nalanda India Fund Limited,"Kirloskar Oil Engines Ltd.

10-year high",NALANDA INDIA FUND LIMITED,NSE,Bulk,Sell,1/20/2021,125,6000000,0.0414
Nalanda India Fund Limited,"Advanced Enzyme Technologies Ltd.

Insider Trades",NALANDA INDIA EQUITY FUND LIMITED,NSE,Bulk,Purchase,9/24/2020,263.8,4190491,0.0375
Nalanda India Fund Limited,Thyrocare Technologies Ltd.,NALANDA INDIA EQUITY FUND LIMITED,NSE,Bulk,Purchase,3/25/2020,499.97,1770000,0.0334
Nalanda India Fund Limited,Thyrocare Technologies Ltd.,NALANDA INDIA EQUITY FUND LIMITED,NSE,Bulk,Purchase,3/24/2020,498.4,1096371,0.0207
Nalanda India Fund Limited,Thermax Ltd.,NALANDA INDIA FUND LIMITED,NSE,Bulk,Purchase,3/20/2020,689.84,1128611,0.0095
Nalanda India Fund Limited,Thermax Ltd.,NALANDA INDIA EQUITY FUND LIMITED,BSE,Bulk,Purchase,3/20/2020,687.99,943506,0.0079
Nalanda India Fund Limited,Cera Sanitaryware Ltd.,NALANDA INDIA EQUITY FUND LIMITED,NSE,Bulk,Purchase,3/18/2020,2308.47,185500,0.0143
Nalanda India Fund Limited,Cera Sanitaryware Ltd.,NALANDA INDIA EQUITY FUND LIMITED,NSE,Bulk,Purchase,3/12/2020,2349.92,71685,0.0055
Nalanda India Fund Limited,Cera Sanitaryware Ltd.,NALANDA INDIA EQUITY FUND LIMITED,NSE,Bulk,Purchase,3/3/2020,2498.79,206400,0.0159
Nalanda India Fund Limited,Cera Sanitaryware Ltd.,NALANDA INDIA EQUITY FUND LIMITED,BSE,Bulk,Purchase,3/3/2020,2499.9,106800,0.0082
Nalanda India Fund Limited,Matrimony.com Ltd.,NALANDA INDIA EQUITY FUND LIMITED,NSE,Bulk,Purchase,3/11/2019,509.87,2110856,0.0948
Nalanda India Fund Limited,Voltamp Transformers Ltd.,NALANDA INDIA FUND LIMITED,NSE,Bulk,Sell,2/4/2019,1002.45,140000,0.0138
Nalanda India Fund Limited,Voltamp Transformers Ltd.,NALANDA INDIA FUND LIMITED,NSE,Block,Sell,2/4/2019,1002.45,105000,0.0104
Nalanda India Fund Limited,Ratnamani Metals & Tubes Ltd.,NALANDA INDIA FUND LIMITED,BSE,Bulk,Sell,1/23/2019,781.65,750000,0.0107
Nalanda India Fund Limited,Kewal Kiran Clothing Ltd.,NALANDA INDIA FUND LIMITED,BSE,Bulk,Sell,1/22/2019,1100.02,300000,0.0049
Nalanda India Fund Limited,Page Industries Ltd.,NALANDA INDIA FUND LIMITED,BSE,Bulk,Sell,1/22/2019,22161.05,185000,0.0166
Nalanda India Fund Limited,Supreme Industries Ltd.,NALANDA INDIA FUND LIMITED,BSE,Bulk,Sell,1/9/2019,1034,1200000,0.0094
Nalanda India Fund Limited,Triveni Turbine Ltd.,NALANDA INDIA FUND LIMITED,BSE,Bulk,Sell,1/2/2019,103,5150000,0.0162
Nalanda India Fund Limited,Exide Industries Ltd.,NALANDA INDIA EQUITY FUND LIMITED,NSE,Bulk,Sell,8/9/2016,169.39,27442513,0.0323
Nalanda India Fund Limited,Exide Industries Ltd.,NALANDA INDIA FUND LIMITED,NSE,Bulk,Sell,8/9/2016,169.39,14332097,0.0169
Nalanda India Fund Limited,Carborundum Universal Ltd.,NALANDA INDIA FUND LIMITED,BSE,Bulk,Sell,7/13/2016,230.14,14953362,0.0786
Nalanda India Fund Limited,Carborundum Universal Ltd.,NALANDA INDIA EQUITY FUND LTD,BSE,Bulk,Sell,7/13/2016,230.14,4018619,0.0211
Nalanda India Fund Limited,Lovable Lingerie Ltd.,NALANDA INDIA EQUITY FUND LIMITED,BSE,Bulk,Sell,11/23/2015,205.28,800000,0.0541
Nalanda India Fund Limited,Lovable Lingerie Ltd.,NALANDA INDIA EQUITY FUND LIMITED,NSE,Bulk,Sell,11/20/2015,233.6,150161,0.0101
Nalanda India Fund Limited,Triveni Engineering & Industries Ltd.,NALANDA INDIA FUND LTD,NSE,Bulk,Sell,11/17/2015,34.7,2400000,0.011
Nalanda India Fund Limited,Triveni Engineering & Industries Ltd.,A/C NALANDA INDIA FUND LIMITED,NSE,Bulk,Sell,11/16/2015,30.33,10100000,0.0461
Nalanda India Fund Limited,Triveni Engineering & Industries Ltd.,NALANDA INDIA FUND LIMITED,BSE,Bulk,Sell,11/16/2015,30.33,2900000,0.0132
Nalanda India Fund Limited,Elgi Equipments Ltd.,NALANDA INDIA EQUITY FUND LIMITED,BSE,Bulk,Purchase,10/8/2015,121.5,1805588,0.0057
Nalanda India Fund Limited,Elgi Equipments Ltd.,A/C NALANDA INDIA EQUITY FUND LIMITED,NSE,Bulk,Purchase,10/8/2015,121.5,1650000,0.0052
Nalanda India Fund Limited,TTK Prestige Ltd.,NALANDA INDIA EQUITY FUND LIMITED,BSE,Bulk,Purchase,3/2/2015,3025,159661,0.0012
Nalanda India Fund Limited,TTK Prestige Ltd.,NALANDA INDIA EQUITY FUND LIMITED,BSE,Bulk,Purchase,3/18/2014,2700,173450,0.0013
Nalanda India Fund Limited,Lovable Lingerie Ltd.,NALANDA INDIA EQUITY FUND LIMITED,NSE,Bulk,Purchase,1/15/2014,299.91,178882,0.0121
Nalanda India Fund Limited,Lovable Lingerie Ltd.,NALANDA INDIA EQUITY FUND LIMITED,BSE,Bulk,Purchase,1/15/2014,299.98,137654,0.0093
Nalanda India Fund Limited,"Kirloskar Oil Engines Ltd.

10-year high",NALANDA INDIA EQUITY FUND LIMITED,BSE,Bulk,Purchase,11/21/2013,163.35,892076,0.0062
Vanguard Fund,"Zomato Ltd.

52 week high",VANGUARD EMERGING MARKETS STOCK INDEX FUND A SERIES OF VIEIF,BSE,Block,Purchase,11/29/2023,112.7,608647,0.0001
Vanguard Fund,"Zomato Ltd.

52 week high","VANGUARD EMERGING MARKETS STOCK INDEX FUND, A SERIES OF VANGUARD INTERNATIONAL EQUITY INDEX FUNDS",BSE,Block,Purchase,11/29/2023,112.7,608647,0.0001
Vanguard Fund,"Zomato Ltd.

52 week high",VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,BSE,Block,Purchase,11/29/2023,112.7,604939,0.0001
Vanguard Fund,"Zomato Ltd.

52 week high",VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,BSE,Block,Purchase,11/29/2023,112.7,604939,0.0001
Vanguard Fund,"Zomato Ltd.

52 week high",VANGUARD FTSE ALL WORLD EX US FUND A SERIES OF VIEIF,BSE,Block,Purchase,11/29/2023,112.7,89261,0
Vanguard Fund,"Zomato Ltd.

52 week high","VANGUARD FTSE ALL-WORLD EX-US INDEX FUND, A SERIES OF VANGUARD INTERNATIONAL EQUITY INDEX FUNDS",BSE,Block,Purchase,11/29/2023,112.7,89261,0
Vanguard Fund,"Zomato Ltd.

52 week high",VANGUARD TOTAL WORLD STOCK INDEX FUND,BSE,Block,Purchase,11/29/2023,112.7,24607,0
Vanguard Fund,"Zomato Ltd.

52 week high",VANGUARD TOTAL WORLD STOCK INDEX FUND,BSE,Block,Purchase,11/29/2023,112.7,24607,0
Vanguard Fund,"Zomato Ltd.

52 week high",VANGUARD FUNDS PUBLIC LIMITED COMPANY VANGUARD FTSE EMERGING MARKETS ETF,BSE,Block,Purchase,11/29/2023,112.7,18405,0
Vanguard Fund,"Zomato Ltd.

52 week high",VANGUARD FUNDS PUBLIC LIMITED COMPANY - VANGUARD FTSE EMERGING MARKETS UCITS ETF,BSE,Block,Purchase,11/29/2023,112.7,18405,0
Vanguard Fund,"Zomato Ltd.

52 week high",VANGUARD FUNDS PUBLIC LIMITED COMPANY VANGUARD FTSE ALL WORLD ETF,BSE,Block,Purchase,11/29/2023,112.7,12480,0
Vanguard Fund,"Zomato Ltd.

52 week high",VANGUARD FUNDS PUBLIC LIMITED COMPANY VANGUARD FTSE ALL WORLD ETF,BSE,Block,Purchase,11/29/2023,112.7,12480,0
Vanguard Fund,"Zomato Ltd.

52 week high",VANGUARD ESG INTERNATIONAL STOCK ETF,BSE,Block,Purchase,11/29/2023,112.7,7379,0
Vanguard Fund,"Zomato Ltd.

52 week high",VANGUARD ESG INTERNATIONAL STOCK ETF,BSE,Block,Purchase,11/29/2023,112.7,7379,0
Vanguard Fund,"Zomato Ltd.

52 week high",VIS PLC - VANGUARD ESG EMERGING MARKETS ALL CAP EQUITY INDEX FUND,BSE,Block,Purchase,11/29/2023,112.7,4299,0
Vanguard Fund,"Zomato Ltd.

52 week high",VIS PLC - VANGUARD ESG EMERGING MARKETS ALL CAP EQUITY INDEX FUND,BSE,Block,Purchase,11/29/2023,112.7,4299,0
Vanguard Fund,"Zomato Ltd.

52 week high",VANGUARD INVESTMENTS FUNDS ICVC - VANGUARD FTSE GLOBAL ALL CAP INDEX FUND,BSE,Block,Purchase,11/29/2023,112.7,1943,0
Vanguard Fund,"Zomato Ltd.

52 week high",VANGUARD INVESTMENTS FUNDS ICVC-VANGUARD FTSE GLOBAL ALL CAP INDEX FUND,BSE,Block,Purchase,11/29/2023,112.7,1943,0
Vanguard Fund,"Zomato Ltd.

52 week high",VANGUARD ASIA EX JAPAN SHARES INDEX FUND,BSE,Block,Purchase,11/29/2023,112.7,1494,0
Vanguard Fund,"Zomato Ltd.

52 week high",VANGUARD ASIA EX JAPAN SHARES INDEX FUND,BSE,Block,Purchase,11/29/2023,112.7,1494,0
Vanguard Fund,Olectra Greentech Ltd.,THE VANGUARD GROUP INC AC VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,NSE,Bulk,Purchase,9/15/2023,1253.81,528904,0.0064
Vanguard Fund,Olectra Greentech Ltd.,VANGUARD EMERGING MARKETS STOCK INDEX FUND,NSE,Bulk,Purchase,9/15/2023,1253.81,522333,0.0064
Vanguard Fund,Himadri Speciality Chemical Ltd.,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,NSE,Bulk,Purchase,9/15/2023,241.82,2653602,0.0054
Vanguard Fund,Himadri Speciality Chemical Ltd.,VANGUARD EMERGING MARKETS STOCK INDEX FUND A SERIES OF VIEIF,NSE,Bulk,Purchase,9/15/2023,241.82,2526447,0.0051
Vanguard Fund,Ramkrishna Forgings Ltd.,THE VANGUARD GROUP INC AC VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,NSE,Bulk,Purchase,9/15/2023,691.78,1060866,0.0059
Vanguard Fund,Ramkrishna Forgings Ltd.,VANGUARD EMERGING MARKETS STOCK INDEX FUND,NSE,Bulk,Purchase,9/15/2023,691.78,1001635,0.0055
Vanguard Fund,MTAR Technologies Ltd.,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,NSE,Bulk,Purchase,9/15/2023,2608.06,230908,0.0075
Vanguard Fund,MTAR Technologies Ltd.,VANGUARD EMERGING MARKETS STOCK INDEX FUND A SERIES OF VIEIF,NSE,Bulk,Purchase,9/15/2023,2608.06,198359,0.0064
Vanguard Fund,Nazara Technologies Ltd.,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,NSE,Bulk,Purchase,9/15/2023,838.16,398217,0.0054
Vanguard Fund,Nazara Technologies Ltd.,VANGUARD EMERGING MARKETS STOCK INDEX FUND A SERIES OF VIEIF,NSE,Bulk,Purchase,9/15/2023,838.16,345792,0.0047
Vanguard Fund,"Data Patterns (India) Ltd.

High Gain High Volume",VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,NSE,Bulk,Purchase,9/15/2023,2075.54,325105,0.0058
Vanguard Fund,"Data Patterns (India) Ltd.

High Gain High Volume",VANGUARD EMERGING MARKETS STOCK INDEX FUND A SERIES OF VIEIF,NSE,Bulk,Purchase,9/15/2023,2075.54,312250,0.0056
Vanguard Fund,GHCL Textiles Ltd.,VANGUARD MODERATE GROWTH FUND,NSE,Bulk,Sell,6/30/2023,73.22,488126,0.0051
Vanguard Fund,"Sapphire Foods India Ltd.

Insider Trades",VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,NSE,Block,Purchase,6/27/2023,1377.1,28934,0.0005
Vanguard Fund,"Sapphire Foods India Ltd.

Insider Trades",VANGUARD EMERGING MARKETS STOCK INDEX FUND A SERIES OF VIEIF,NSE,Block,Purchase,6/27/2023,1377.1,17365,0.0003
Vanguard Fund,"Sapphire Foods India Ltd.

Insider Trades",VANGUARD FTSE ALL WRLD EX US SMALL CAP INDEX FUND,NSE,Block,Purchase,6/27/2023,1377.1,12464,0.0002
Vanguard Fund,Shriram Finance Ltd.,THE VANGUARD GROUP INC A/C VANGUARD EMERGING MARKETS STOCK INDEX FUND A SERIES OF VANGUARD INTERNAT,NSE,Block,Purchase,6/21/2023,1545,100000,0.0003
Vanguard Fund,"HDFC Asset Management Company Ltd.

10-year high Insider Trades",VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,BSE,Block,Purchase,6/20/2023,1873,117932,0.0006
Vanguard Fund,"HDFC Asset Management Company Ltd.

10-year high Insider Trades",VANGUARD EMERGING MARKETS STOCK INDEX FUND A SERIES OF VIEIF,BSE,Block,Purchase,6/20/2023,1873,111371,0.0005
Vanguard Fund,"HDFC Asset Management Company Ltd.

10-year high Insider Trades",VANGUARD FTSE ALL WORLD EX US FUND A SERIES OF VIEIF,BSE,Block,Purchase,6/20/2023,1873,17561,0.0001
Vanguard Fund,"HDFC Asset Management Company Ltd.

10-year high Insider Trades",VANGUARD TOTAL WORLD STOCK INDEX FUND,BSE,Block,Purchase,6/20/2023,1873,4437,0
Vanguard Fund,"HDFC Asset Management Company Ltd.

10-year high Insider Trades",VANGUARD FUNDS PUBLIC LIMITED COMPANY VANGUARD FTSE EMERGING MARKETS ETF,BSE,Block,Purchase,6/20/2023,1873,3714,0
Vanguard Fund,"HDFC Asset Management Company Ltd.

10-year high Insider Trades",VANGUARD FUNDS PUBLIC LIMITED COMPANY VANGUARD FTSE ALL WORLD ETF,BSE,Block,Purchase,6/20/2023,1873,1938,0
Vanguard Fund,"HDFC Asset Management Company Ltd.

10-year high Insider Trades",VANGUARD ESG INTERNATIONAL STOCK ETF,BSE,Block,Purchase,6/20/2023,1873,1224,0
Vanguard Fund,"HDFC Asset Management Company Ltd.

10-year high Insider Trades",VIS PLC - VANGUARD ESG EMERGING MARKETS ALL CAP EQUITY INDEX FUND,BSE,Block,Purchase,6/20/2023,1873,876,0
Vanguard Fund,"HDFC Asset Management Company Ltd.

10-year high Insider Trades",VANGUARD INVESTMENTS FUNDS ICVC - VANGUARD FTSE GLOBAL ALL CAP INDEX FUND,BSE,Block,Purchase,6/20/2023,1873,391,0
Vanguard Fund,"HDFC Asset Management Company Ltd.

10-year high Insider Trades",VANGUARD ASIA EX JAPAN SHARES INDEX FUND,BSE,Block,Purchase,6/20/2023,1873,274,0
Vanguard Fund,"HDFC Asset Management Company Ltd.

10-year high Insider Trades",VANGUARD FUNDS PLC / VANGUARD ESG GLOBAL ALL CAP UCITS ETF,BSE,Block,Purchase,6/20/2023,1873,96,0
Vanguard Fund,Piramal Pharma Ltd.,THE VANGUARD GROUP INC AC VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,NSE,Bulk,Purchase,6/16/2023,94.71,6202912,0.0047
Vanguard Fund,Jaiprakash Power Ventures Ltd.,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,NSE,Bulk,Purchase,3/17/2023,6.08,36658683,0.0053
Jupiter South Asia Investment Company Limited,Escorts Kubota Ltd.,JUPITER SOUTH ASIA INVESTMENT COMPANY LIMITED,BSE,Block,Sell,1/18/2024,2902.05,48228,0.0004
Jupiter South Asia Investment Company Limited,Ethos Ltd.,JUPITER SOUTH ASIA INVESTMENT COMPANY LIMITED,BSE,Bulk,Sell,1/18/2024,2305.1,137327,0.0056
Jupiter South Asia Investment Company Limited,Ethos Ltd.,JUPITER SOUTH ASIA INVESTMENT COMPANY LIMITED,BSE,Block,Sell,1/18/2024,2305.1,137327,0.0056
Jupiter South Asia Investment Company Limited,Exide Industries Ltd.,JUPITER SOUTH ASIA INVESTMENT COMPANY LIMITED,BSE,Block,Sell,1/18/2024,319.3,891269,0.001
Jainam Share Consultants Pvt. Ltd,FCS Software Solutions Ltd.,JAINAM SHARE CONSULTANTS PVT. LTD.,BSE,Bulk,Purchase,1/15/2024,5.37,5829302,0.0034
Smallcap World Fund Inc,Embassy Office Parks REIT,SMALLCAP WORLD FUND INC,BSE,Bulk,Purchase,12/20/2023,316.04,11390698,0.012
Smallcap World Fund Inc,PB Fintech Ltd.,SMALLCAP WORLD FUND INC,BSE,Block,Purchase,12/15/2023,800.05,273164,0.0006
Smallcap World Fund Inc,Home First Finance Company India Ltd.,SMALLCAP WORLD FUND INC,BSE,Bulk,Purchase,11/23/2023,870.5,2395000,0.0271
Smallcap World Fund Inc,"Aegis Logistics Ltd.

10-year high",SMALLCAPWORLD FUND INC,NSE,Bulk,Sell,11/9/2023,294,1826245,0.0052
Smallcap World Fund Inc,Honasa Consumer Ltd.,SMALLCAP WORLD FUND INC,NSE,Bulk,Purchase,11/7/2023,333.01,3383514,0.0105
Smallcap World Fund Inc,Five-Star Business Finance Ltd.,SMALLCAP WORLD FUND INC,NSE,Bulk,Purchase,9/15/2023,700.15,3018700,0.0103
Smallcap World Fund Inc,Five-Star Business Finance Ltd.,SMALLCAP WORLD FUND INC,NSE,Block,Purchase,9/15/2023,700.15,3018700,0.0103
Smallcap World Fund Inc,Aavas Financiers Ltd.,SMALLCAP WORLD FUND INC.,NSE,Bulk,Purchase,9/6/2023,1654,454139,0.0057
Smallcap World Fund Inc,Dreamfolks Services Ltd.,SMALLCAP WORLD FUND INC,NSE,Bulk,Sell,9/6/2023,507.55,1306298,0.0246
Smallcap World Fund Inc,Coforge Ltd.,SMALLCAP WORLD FUND INC,NSE,Bulk,Purchase,8/24/2023,4703,661812,0.0107
Smallcap World Fund Inc,Jamna Auto Industries Ltd.,SMALLCAP WORLD FUND INC,NSE,Bulk,Sell,6/20/2023,96.15,5905682,0.0148
Smallcap World Fund Inc,"HDFC Asset Management Company Ltd.

10-year high Insider Trades",SMALLCAP WORLD FUND INC,BSE,Bulk,Purchase,6/20/2023,1873,3724324,0.0174
Smallcap World Fund Inc,"HDFC Asset Management Company Ltd.

10-year high Insider Trades",SMALLCAP WORLD FUND INC,BSE,Block,Purchase,6/20/2023,1873,3724324,0.0174
Smallcap World Fund Inc,Aavas Financiers Ltd.,SMALLCAP WORLD FUND INC,BSE,Bulk,Sell,6/14/2023,1349.94,1284778,0.0162
Smallcap World Fund Inc,Deepak Fertilisers & Petrochemicals Corporation Ltd.,SMALLCAPWORLD FUND INC,NSE,Bulk,Sell,6/7/2023,548.42,2354000,0.0186
Smallcap World Fund Inc,Quess Corp Ltd.,SMALLCAP WORLD FUND INC,NSE,Bulk,Sell,3/29/2023,385,2846013,0.0192
Smallcap World Fund Inc,CMS Info Systems Ltd.,SMALLCAP WORLD FUND INC,NSE,Bulk,Purchase,11/16/2022,333.05,3001000,0.0192
Smallcap World Fund Inc,"Mastek Ltd.

Board Meeting 52 week high High Gain High Volume",SMALLCAP WORLD FUND INC,BSE,Bulk,Purchase,9/26/2022,1759.97,549676,0.0179
Smallcap World Fund Inc,Embassy Office Parks REIT,SMALLCAP WORLD FUND INC,NSE,Bulk,Purchase,9/16/2022,351,5487000,0.0058
Smallcap World Fund Inc,"Mastek Ltd.

Board Meeting 52 week high High Gain High Volume",SMALLCAP WORLD FUND INC,NSE,Bulk,Purchase,8/1/2022,2109.96,554883,0.0181
Smallcap World Fund Inc,"Hikal Ltd.

Dividend",SMALLCAP WORLD FUND INC,NSE,Bulk,Sell,6/29/2022,249.02,2500000,0.0203
Smallcap World Fund Inc,G R Infraprojects Ltd.,SMALLCAP WORLD FUND INC,NSE,Bulk,Sell,3/8/2022,1280,610132,0.0063
Smallcap World Fund Inc,G R Infraprojects Ltd.,SMALLCAP WORLD FUND INC,BSE,Bulk,Sell,3/8/2022,1280,610131,0.0063
Smallcap World Fund Inc,IIFL Finance Ltd.,SMALLCAP WORLD FUND INC,NSE,Bulk,Purchase,12/9/2021,300,3561730,0.0093
Smallcap World Fund Inc,IIFL Finance Ltd.,SMALLCAP WORLD FUND INC,BSE,Bulk,Purchase,12/1/2021,300,10000000,0.0262
Smallcap World Fund Inc,Quess Corp Ltd.,SMALLCAP WORLD FUND INC,BSE,Bulk,Purchase,8/9/2021,900,4130467,0.0278
Smallcap World Fund Inc,IIFL Finance Ltd.,SMALLCAP WORLD FUND INC,BSE,Bulk,Purchase,6/30/2021,240,5836000,0.0153
Smallcap World Fund Inc,Tanla Platforms Ltd.,SMALLCAP WORLD FUND INC,NSE,Block,Purchase,6/28/2021,836.8,464376,0.0035
Smallcap World Fund Inc,EPL Ltd.,SMALLCAP WORLD FUND INC,NSE,Bulk,Sell,4/28/2021,221.51,3136773,0.0099
Smallcap World Fund Inc,EPL Ltd.,SMALLCAP WORLD FUND INC,BSE,Bulk,Sell,4/28/2021,221.5,3100000,0.0097
Smallcap World Fund Inc,"Strides Pharma Science Ltd.

52 week high",SMALLCAP WORLD FUND INC,NSE,Bulk,Purchase,4/12/2021,849.92,1493317,0.0162
