superstar,stock,client,market,type,action type,Date,avg,count,change
Jm Financial Services Limited,Usher Agro Ltd.,JM FINANCIAL PRODUCTS PVT LTD,NSE,Bulk,Purchase,40919,36.64,291431,0.0038,
Jm Financial Services Limited,Usher Agro Ltd.,JM FINANCIAL PRODUCTS PVT LTD,NSE,Bulk,Sell,40919,35.1,291431,0.0038,
Jm Financial Services Limited,Olectra Greentech Ltd.,JM FINANCIAL PRODUCTS PVT LTD,NSE,Bulk,Sell,40870,8.33,208036,0.0025,
Jm Financial Services Limited,Dalmia Bharat Ltd.(Old),JM FINANCIAL VENTURES LIMITED,BSE,Block,Sell,40722,177.35,924258,-%,
Jm Financial Services Limited,Dalmia Bharat Ltd.(Old),JM FINANCIAL VENTURES LIMITED,BSE,Block,Purchase,40682,175,1028000,-%,
Massachusetts Institute Of Technology,Macpower CNC Machines Ltd.,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,NSE,Bulk,Sell,45155,217.91,247846,0.0248,
Massachusetts Institute Of Technology,CMS Info Systems Ltd.,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,BSE,Bulk,Purchase,45148,356,2651061,0.0169,
Massachusetts Institute Of Technology,Syngene International Ltd.,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,BSE,Block,Purchase,44958,560,320000,0.0008,
Massachusetts Institute Of Technology,Fusion Micro Finance Ltd.,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,NSE,Bulk,Purchase,44880,339.28,552281,0.0055,
Massachusetts Institute Of Technology,Newgen Software Technologies Ltd.,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,NSE,Bulk,Purchase,44784,370,1015500,0.0072,
Massachusetts Institute Of Technology,"Fairchem Organics Ltd.

52 week high High Gain High Volume",MIT#853O-MASSACHUSETTS INSTITUTE OF TECHNOLOGY,NSE,Bulk,Purchase,44510,1875,402368,0.0309,
Massachusetts Institute Of Technology,"Fairchem Organics Ltd.

52 week high High Gain High Volume",MIT#157G MASSACHUSETTS INSTITUTE OF TECHNOLOGY,NSE,Bulk,Purchase,44510,1875,82970,0.0064,
Massachusetts Institute Of Technology,"Fairchem Organics Ltd.

52 week high High Gain High Volume",MIT#853O-MASSACHUSETTS INSTITUTE OF TECHNOLOGY,NSE,Block,Purchase,44510,1875,402368,0.0309,
Massachusetts Institute Of Technology,"Fairchem Organics Ltd.

52 week high High Gain High Volume",MIT#157G MASSACHUSETTS INSTITUTE OF TECHNOLOGY,NSE,Block,Purchase,44510,1875,82970,0.0064,
Massachusetts Institute Of Technology,Globus Spirits Ltd.,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,NSE,Bulk,Purchase,44419,822.9,900000,0.0312,
Massachusetts Institute Of Technology,Globus Spirits Ltd.,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,NSE,Block,Purchase,44419,822.9,900000,0.0312,
Massachusetts Institute Of Technology,Tanla Platforms Ltd.,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,BSE,Bulk,Purchase,44160,524.3,985000,0.0073,
Massachusetts Institute Of Technology,Tanla Platforms Ltd.,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,BSE,Block,Purchase,44160,524.3,985000,0.0073,
Massachusetts Institute Of Technology,Matrimony.com Ltd.,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,BSE,Bulk,Purchase,44068,520,1400000,0.0629,
Massachusetts Institute Of Technology,NIIT Ltd.,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,NSE,Bulk,Purchase,44048,96.75,1600000,0.0118,
Massachusetts Institute Of Technology,NIIT Ltd.,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,BSE,Bulk,Purchase,44048,96.75,1400000,0.0104,
Massachusetts Institute Of Technology,GRUH Finance Ltd.,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,NSE,Block,Purchase,43707,247.15,455563,0.0006,
Massachusetts Institute Of Technology,Satin Creditcare Network Ltd.,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,BSE,Bulk,Purchase,43454,228.25,847452,0.0077,
Massachusetts Institute Of Technology,ICICI Lombard General Insurance Company Ltd.,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,BSE,Block,Purchase,43434,800,300000,0.0006,
Massachusetts Institute Of Technology,Intrasoft Technologies Ltd.,MASSACHUSETTS INSTITUTE OF TECHNOLOGY II,BSE,Bulk,Purchase,42408,288,95007,0.0064,
Massachusetts Institute Of Technology,Astral Ltd.,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,NSE,Bulk,Sell,41997,388,1218272,0.0045,
Massachusetts Institute Of Technology,Cera Sanitaryware Ltd.,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,NSE,Bulk,Sell,41997,1705,87750,0.0067,
Massachusetts Institute Of Technology,Hathway Cable & Datacom Ltd.,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,NSE,Bulk,Sell,41997,348,1499602,0.0008,
Massachusetts Institute Of Technology,Page Industries Ltd.,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,NSE,Bulk,Sell,41997,12120,195889,0.0176,
Massachusetts Institute Of Technology,Shriram City Union Finance Ltd.,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,NSE,Bulk,Sell,41997,1786,837307,0.0125,
Massachusetts Institute Of Technology,V-Guard Industries Ltd.,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,NSE,Bulk,Sell,41997,1090.28,955207,0.0022,
Massachusetts Institute Of Technology,Shriram City Union Finance Ltd.,MASSACHUSETTS INSTITUTE OF TECHNOLOGY A/C MASSACHUSETTS,NSE,Bulk,Purchase,41464,984,599943,0.009,
Massachusetts Institute Of Technology,V-Guard Industries Ltd.,MASSACHUSETTS INSTITUTE OF TECHNOLOGY SCM,BSE,Bulk,Purchase,41464,480,607656,0.0014,
Plutus Wealth,"Bharat Petroleum Corporation Ltd.

Pilot Project",PLUTUS WEALTH MANAGEMENT LLP,BSE,Block,Purchase,45336,584,701366,0.0003,
Plutus Wealth,Indiabulls Housing Finance Ltd.,PLUTUS WEALTH MANAGEMENT LLP,NSE,Bulk,Purchase,45316,195.74,5000000,0.0087,
Plutus Wealth,Accelya Solutions India Ltd.,PLUTUS WEALTH MANAGEMENT LLP,NSE,Bulk,Purchase,45303,1709.99,74771,0.005,
Plutus Wealth,Zee Entertainment Enterprises Ltd.,PLUTUS WEALTH MANAGEMENT LLP,NSE,Bulk,Purchase,45288,270.07,6110797,0.0064,
Plutus Wealth,Apollo Tyres Ltd.,PLUTUS WEALTH MANAGEMENT LLP,BSE,Block,Purchase,45279,448.35,1670000,0.0026,
Plutus Wealth,Riba Textiles Ltd.,PLUTUS CAPITAL MANAGEMENT LLP,BSE,Bulk,Purchase,45275,90.11,50000,0.0052,
Plutus Wealth,Sterling and Wilson Renewable Energy Ltd.,PLUTUS WEALTH MANAGEMENT LLP,NSE,Bulk,Purchase,45275,410,2500000,0.0107,
Plutus Wealth,Zee Entertainment Enterprises Ltd.,PLUTUS WEALTH MANAGEMENT LLP,NSE,Bulk,Purchase,45272,292.34,9000000,0.0094,
Plutus Wealth,Kohinoor Foods Ltd.,PLUTUS RESEARCH PRIVATE LIMITED,NSE,Bulk,Purchase,45268,58.49,345546,0.0093,
Plutus Wealth,Kohinoor Foods Ltd.,PLUTUS RESEARCH PRIVATE LIMITED,NSE,Bulk,Sell,45268,58.57,345546,0.0093,
Plutus Wealth,Competent Automobiles Co Ltd.,PLUTUS CAPITAL MANAGEMENT LLP,BSE,Bulk,Purchase,45259,437.55,33300,0.0054,
Plutus Wealth,Cello World Ltd.,PLUTUS WEALTH MANAGEMENT LLP,NSE,Bulk,Purchase,45236,801.81,1250000,0.0059,
Plutus Wealth,Delta Corp Ltd.,PLUTUS RESEARCH PRIVATE LIMITED,NSE,Bulk,Purchase,45195,139.98,2955702,0.011,
Plutus Wealth,Delta Corp Ltd.,PLUTUS RESEARCH PRIVATE LIMITED,NSE,Bulk,Sell,45195,140.05,2955702,0.011,
Plutus Wealth,Tarsons Products Ltd.,PLUTUS WEALTH MANAGEMENT LLP,NSE,Bulk,Purchase,45189,530,1740000,0.0327,
Plutus Wealth,Restaurant Brands Asia Ltd.,PLUTUS WEALTH MANAGEMENT LLP,NSE,Bulk,Purchase,45184,119.1,30000000,0.0604,
Plutus Wealth,Restaurant Brands Asia Ltd.,PLUTUS WEALTH MANAGEMENT LLP,NSE,Bulk,Purchase,45184,119.1,4000000,0.0081,
Plutus Wealth,Restaurant Brands Asia Ltd.,PLUTUS WEALTH MANAGEMENT LLP,NSE,Block,Purchase,45184,119.1,30000000,0.0604,
Plutus Wealth,Restaurant Brands Asia Ltd.,PLUTUS WEALTH MANAGEMENT LLP,NSE,Block,Purchase,45184,119.1,4000000,0.0081,
Plutus Wealth,Bikaji Foods International Ltd.,PLUTUS WEALTH MANAGEMENT LLP,BSE,Bulk,Purchase,45174,480.11,1350000,0.0054,
Plutus Wealth,Max Financial Services Ltd.,PLUTUS WEALTH MANAGEMENT LLP,BSE,Bulk,Purchase,45162,873,2500000,0.0072,
Plutus Wealth,Max Financial Services Ltd.,PLUTUS WEALTH MANAGEMENT LLP,NSE,Block,Purchase,45162,873,1250000,0.0036,
Plutus Wealth,Yatharth Hospital & Trauma Care Services Ltd.,PLUTUS WEALTH MANAGEMENT LLP,NSE,Bulk,Purchase,45145,331.19,1000000,0.0116,
Plutus Wealth,Eris Lifesciences Ltd.,PLUTUS WEALTH MANAGEMENT LLP,NSE,Bulk,Purchase,45138,783.03,1210000,0.0089,
Plutus Wealth,Eris Lifesciences Ltd.,PLUTUS WEALTH MANAGEMENT LLP,NSE,Bulk,Purchase,45138,783,1000000,0.0074,
Plutus Wealth,Piramal Enterprises Ltd.,PLUTUS WEALTH MANAGEMENT LLP,BSE,Block,Purchase,45113,941.15,1100000,0.0049,
Plutus Wealth,CreditAccess Grameen Ltd.,PLUTUS WEALTH MANAGEMENT LLP,NSE,Bulk,Purchase,45107,1245,1023000,0.0064,
Plutus Wealth,Harsha Engineers International Ltd.,PLUTUS WEALTH MANAGEMENT LLP,BSE,Bulk,Purchase,45100,435,1604532,0.0176,
Plutus Wealth,Zee Entertainment Enterprises Ltd.,PLUTUS WEALTH MANAGEMENT LLP,NSE,Bulk,Purchase,45090,191.44,7500000,0.0078,
Plutus Wealth,MTAR Technologies Ltd.,PLUTUS WEALTH MANAGEMENT LLP,BSE,Bulk,Purchase,45082,1880.02,1315000,0.0428,
Plutus Wealth,Zee Entertainment Enterprises Ltd.,PLUTUS WEALTH MANAGEMENT LLP,NSE,Bulk,Purchase,45058,184.63,6500000,0.0068,
Plutus Wealth,Poonawalla Fincorp Ltd.,PLUTUS WEALTH MANAGEMENT LLP,NSE,Block,Purchase,45033,290,3275863,0.0043,
Plutus Wealth,Poonawalla Fincorp Ltd.,PLUTUS WEALTH MANAGEMENT LLP,NSE,Block,Purchase,45033,290,1724137,0.0022,
Plutus Wealth,Max Financial Services Ltd.,PLUTUS WEALTH MANAGEMENT LLP,BSE,Bulk,Purchase,45014,606.6,2000000,0.0058,
Plutus Wealth,Max Financial Services Ltd.,PLUTUS WEALTH MANAGEMENT LLP,BSE,Block,Purchase,45014,606.6,2000000,0.0058,
Plutus Wealth,Max Financial Services Ltd.,PLUTUS WEALTH MANAGEMENT LLP,BSE,Block,Purchase,45014,606.6,1000000,0.0029,
Plutus Wealth,GMM Pfaudler Ltd.,PLUTUS WEALTH MANAGEMENT LLP,NSE,Bulk,Purchase,44911,1691.44,950000,0.0211,
Plutus Wealth,Triveni Engineering & Industries Ltd.,PLUTUS WEALTH MANAGEMENT LLP,BSE,Bulk,Purchase,44903,280,4000000,0.0183,
Plutus Wealth,Bandhan Bank Ltd.,PLUTUS WEALTH MANAGEMENT LLP,NSE,Bulk,Purchase,44896,235.65,9000000,0.0056,
Plutus Wealth,Keystone Realtors Ltd.,PLUTUS WEALTH MANAGEMENT LLP,NSE,Bulk,Purchase,44889,555.03,1710000,0.015,
Plutus Wealth,RateGain Travel Technologies Ltd.,PLUTUS WEALTH MANAGEMENT LLP,BSE,Bulk,Purchase,44869,281.16,1050000,0.0089,
Plutus Wealth,CSB Bank Ltd.,PLUTUS WEALTH MANAGEMENT LLP,BSE,Bulk,Sell,44855,233.01,3200000,0.0184,
Plutus Wealth,Triveni Turbine Ltd.,PLUTUS WEALTH MANAGEMENT LLP,NSE,Bulk,Purchase,44825,226.7,2038058,0.0064,
Plutus Wealth,Triveni Turbine Ltd.,PLUTUS WEALTH MANAGEMENT LLP,NSE,Block,Purchase,44825,226.7,2038058,0.0064,
Plutus Wealth,V-Mart Retail Ltd.,PLUTUS WEALTH MANAGEMENT LLP,BSE,Bulk,Sell,44823,2915.04,303000,0.0153,
Plutus Wealth,EP Biocomposites Ltd.,PLUTUS CAPITAL MANAGEMENT LLP,BSE,Bulk,Purchase,44818,176.65,10000,0.0059,
Plutus Wealth,Ami Organics Ltd.,PLUTUS WEALTH MANAGEMENT LLP,BSE,Bulk,Purchase,44817,1037.25,953420,0.0259,
Plutus Wealth,V-Mart Retail Ltd.,PLUTUS WEALTH MANAGEMENT LLP,BSE,Bulk,Purchase,44809,2815.03,1145000,0.0579,
Plutus Wealth,Dodla Dairy Ltd.,PLUTUS WEALTH MANAGEMENT LLP,BSE,Block,Purchase,44805,509,792072,0.0133,
Plutus Wealth,Zensar Technologies Ltd.,PLUTUS WEALTH MANAGEMENT LLP,BSE,Bulk,Purchase,44783,223.01,7500000,0.0331,
The Oriental Insurance Company Limited,"Rolcon Engineering Company Ltd.

10-year high",THE ORIENTAL INSURANCE CO LTD,BSE,Bulk,Sell,44819,344.7,4000,0.0053,
The Oriental Insurance Company Limited,"Rolcon Engineering Company Ltd.

10-year high",THE ORIENTAL INSURANCE CO LTD,BSE,Bulk,Sell,44817,312.7,5000,0.0066,
The Oriental Insurance Company Limited,Zee Entertainment Enterprises Ltd.,CANARA HSBC ORIENTAL BANK OF COMMERCE LIFE INSURANCE COMPANY LIMITED,NSE,Block,Purchase,43790,304,330000,0.0003,
The Oriental Insurance Company Limited,Apollo Pipes Ltd.,CANARA HSBC ORIENTAL BANK OF COMMERCE LIFE INSURANCE COMPANY LIMITED,BSE,Bulk,Sell,43731,375,140000,0.0036,
The Oriental Insurance Company Limited,Apollo Pipes Ltd.,CANARA HSBC ORIENTAL BANK OF COMMERCE LIFE INSURANCE COMPANY LIMI,BSE,Bulk,Purchase,43124,640,83489,0.0021,
The Oriental Insurance Company Limited,Apollo Pipes Ltd.,CANARA HSBC ORIENTAL BANK OF COMMERCE LIFE INSURANCE COMPANY LIMI,BSE,Bulk,Purchase,43115,680,100000,0.0025,
The Oriental Insurance Company Limited,BEML Ltd.,CANARA HSBC ORIENTAL BANK OF COMMERCE LIFE INSURANCE CO LTD,NSE,Bulk,Sell,42471,876.85,233281,0.0056,
The Oriental Insurance Company Limited,ECE Industries Ltd.,THE ORIENTAL INSURANCE COMPANY LTD.,NSE,Bulk,Sell,42430,160,343808,0.0445,
The Oriental Insurance Company Limited,Punj Lloyd Ltd.,CANARA HSBC ORIENTAL BANK OF COMMERCE LIFE INSURANCE COMPAN,NSE,Bulk,Purchase,41808,52.05,2202497,0.0066,
East Bridge Capital Master Fund Limited,Piramal Enterprises Ltd.,EAST BRIDGE CAPITAL MASTER FUND I LIMITED,NSE,Block,Purchase,45334,883.25,928000,0.0041,
East Bridge Capital Master Fund Limited,Piramal Enterprises Ltd.,EAST BRIDGE CAPITAL MASTER FUND LIMITED,NSE,Block,Sell,45334,883.25,928000,0.0041,
East Bridge Capital Master Fund Limited,"Inox Wind Ltd.

10-year high",EAST BRIDGE CAPITAL MASTER FUND I LIMITED,BSE,Bulk,Purchase,45230,209,4784689,0.0147,
East Bridge Capital Master Fund Limited,Piramal Pharma Ltd.,EAST BRIDGE CAPITAL MASTER FUND I LIMITED,BSE,Bulk,Purchase,45230,102.8,33643099,0.0254,
East Bridge Capital Master Fund Limited,Piramal Pharma Ltd.,EAST BRIDGE CAPITAL MASTER FUND LIMITED,BSE,Bulk,Sell,45230,102.8,33643099,0.0254,
East Bridge Capital Master Fund Limited,Piramal Pharma Ltd.,EAST BRIDGE CAPITAL MASTER FUND I LIMITED,BSE,Block,Purchase,45230,102.8,33643099,0.0254,
East Bridge Capital Master Fund Limited,Piramal Pharma Ltd.,EAST BRIDGE CAPITAL MASTER FUND LIMITED,BSE,Block,Sell,45230,102.8,33643099,0.0254,
East Bridge Capital Master Fund Limited,Jammu & Kashmir Bank Ltd.,EAST BRIDGE CAPITAL MASTER FUND I LIMITED,NSE,Bulk,Sell,44313,23.67,7000000,0.0064,
East Bridge Capital Master Fund Limited,Jammu & Kashmir Bank Ltd.,EAST BRIDGE CAPITAL MASTER FUND LIMITED,NSE,Bulk,Sell,44245,31.09,10125004,0.0092,
East Bridge Capital Master Fund Limited,Hemisphere Properties India Ltd.,EAST BRIDGE CAPITAL MASTER FUND I LIMITED,NSE,Bulk,Sell,44196,96.88,2670904,0.0094,
East Bridge Capital Master Fund Limited,Tata Communications Ltd.,EAST BRIDGE CAPITAL MASTER FUND I LIMITED,NSE,Bulk,Purchase,43929,235,4400000,0.0154,
East Bridge Capital Master Fund Limited,Multi Commodity Exchange of India Ltd.,EAST BRIDGE CAPITAL MASTER FUND I LIMITED,NSE,Bulk,Sell,43921,1066.08,906409,0.0178,
East Bridge Capital Master Fund Limited,Jubilant Pharmova Ltd.,EAST BRIDGE CAPITAL MASTER FUND LIMITED,BSE,Bulk,Purchase,43895,497.6,2405583,0.0151,
East Bridge Capital Master Fund Limited,NAVA Ltd.,EAST BRIDGE CAPITAL MASTER FUND LIMITED,BSE,Bulk,Purchase,43895,65.15,4235574,0.0292,
East Bridge Capital Master Fund Limited,Jubilant Pharmova Ltd.,EAST BRIDGE CAPITAL MASTER FUND LIMITED,NSE,Bulk,Purchase,43676,435,1250000,0.0078,
East Bridge Capital Master Fund Limited,"Natco Pharma Ltd.

52 week high",EAST BRIDGE CAPITAL MASTER FUND I LTD,BSE,Bulk,Purchase,43651,528,1577761,0.0088,
East Bridge Capital Master Fund Limited,Multi Commodity Exchange of India Ltd.,EAST BRIDGE CAPITAL MASTER FUND I LIMITED,NSE,Bulk,Purchase,43433,706.41,399000,0.0078,
East Bridge Capital Master Fund Limited,Tejas Networks Ltd.,EASTBRIDGE CAPITAL MASTER FUND LIMITED,BSE,Bulk,Purchase,43315,259.98,1917804,0.0113,
East Bridge Capital Master Fund Limited,Shriram City Union Finance Ltd.,EAST BRIDGE CAPITAL MASTER FUND I LTD,NSE,Bulk,Purchase,43314,1922.25,1326719,0.0198,
East Bridge Capital Master Fund Limited,Fortis Healthcare Ltd.,EAST BRIDGE CAPITAL MASTER FUND I LTD,NSE,Bulk,Purchase,43187,128.71,16000000,0.0212,
East Bridge Capital Master Fund Limited,Fortis Healthcare Ltd.,East Bridge Capital Master Fund I Ltd,BSE,Bulk,Purchase,43187,130.14,4000000,0.0053,
East Bridge Capital Master Fund Limited,Piramal Enterprises Ltd.,EAST BRIDGE CAPITAL MASTER FUND 1 LIMITED,BSE,Bulk,Purchase,43129,2804,2533910,0.0113,
East Bridge Capital Master Fund Limited,"Prestige Estates Projects Ltd.

Analyst Buy",EAST BRIDGE CAPITAL MASTER FUND LIMITED,BSE,Bulk,Purchase,42661,185,4449016,0.0111,
East Bridge Capital Master Fund Limited,"Prestige Estates Projects Ltd.

Analyst Buy",EAST BRIDGE CAPITAL MASTER FUND LIMITED,NSE,Bulk,Purchase,42661,185,2324437,0.0058,
East Bridge Capital Master Fund Limited,"Dilip Buildcon Ltd.

Order Win",EAST BRIDGE CAPITAL MASTER FUND LIMITED,NSE,Bulk,Purchase,42593,242.17,1167883,0.008,
East Bridge Capital Master Fund Limited,"Dilip Buildcon Ltd.

Order Win",EAST BRIDGE CAPITAL MASTER FUND LIMITED,BSE,Bulk,Purchase,42593,242.92,924292,0.0063,
East Bridge Capital Master Fund Limited,CLARIS LIFESCIENCES LTD.,EAST BRIDGE CAPITAL MASTER FUND LIMITED,BSE,Bulk,Purchase,42578,210,2420000,-%,
East Bridge Capital Master Fund Limited,Hathway Cable & Datacom Ltd.,EAST BRIDGE CAPITAL MASTER FUND LIMITED,NSE,Bulk,Purchase,42237,45,15467400,0.0087,
East Bridge Capital Master Fund Limited,Delta Corp Ltd.,EAST BRIDGE CAPITAL MASTER FUND LIMITED,NSE,Bulk,Purchase,42236,69.35,6000000,0.0224,
East Bridge Capital Master Fund Limited,Delta Corp Ltd.,EAST BRIDGE CAPITAL MASTER FUND LIMITED,NSE,Block,Purchase,42236,69.35,6000000,0.0224,
East Bridge Capital Master Fund Limited,Jubilant Pharmova Ltd.,EAST BRIDGE CAP MTR FD LTD,NSE,Bulk,Purchase,42129,150,6000000,0.0377,
East Bridge Capital Master Fund Limited,NAVA Ltd.,EAST BRIDGE CAPITAL MASTER FUND LIMITED,NSE,Bulk,Purchase,42086,175,454000,0.0031,
East Bridge Capital Master Fund Limited,Hathway Cable & Datacom Ltd.,EAST BRIDGE CAPITAL MASTER FUND LIMITED,BSE,Bulk,Purchase,42080,50,7000000,0.004,
Goldman Sachs India Limited,"Bharat Petroleum Corporation Ltd.

Pilot Project",GOLDMAN SACHS FUNDS GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,45336,584,411885,0.0002,
Goldman Sachs India Limited,Kalyan Jewellers India Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Purchase,45330,334,5847101,0.0057,
Goldman Sachs India Limited,Kalyan Jewellers India Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Block,Purchase,45330,334,5847101,0.0057,
Goldman Sachs India Limited,Paradeep Phosphates Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Sell,45330,76.05,7474568,0.0092,
Goldman Sachs India Limited,Avalon Technologies Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Sell,45330,474.01,1493822,0.0228,
Goldman Sachs India Limited,Medi Assist Healthcare Services Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Purchase,45314,468.65,1534472,0.0223,
Goldman Sachs India Limited,Pricol Ltd.,GOLDMAN SACHS INDIA LIMITED,NSE,Bulk,Purchase,45308,343.5,1490024,0.0122,
Goldman Sachs India Limited,Pricol Ltd.,GOLDMAN SACHS INDIA LIMITED,NSE,Block,Purchase,45308,343.5,1490024,0.0122,
Goldman Sachs India Limited,India Shelter Finance Corporation Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Purchase,45280,593.08,591027,0.0055,
Goldman Sachs India Limited,"Archean Chemical Industries Ltd.

10-year high High Gain High Volume",GOLDMAN SACHS FDS GOLDMAN SACHS INDIA EQ PORTFOLIO,NSE,Bulk,Purchase,45278,600,623609,0.0051,
Goldman Sachs India Limited,Pricol Ltd.,GOLDMAN SACHS INDIA LIMITED,BSE,Bulk,Purchase,45268,333,2894619,0.0237,
Goldman Sachs India Limited,Mahindra Logistics Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Sell,45268,376.19,592042,0.0082,
Goldman Sachs India Limited,ASK Automotive Ltd.,GOLDMANSACHS FUNDS GOLDMANSACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Purchase,45245,310.05,2320653,0.0118,
Goldman Sachs India Limited,IKIO Lighting Ltd.,GOLDMAN SACHS FUNDS GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Sell,45236,346.77,634055,0.0082,
Goldman Sachs India Limited,CMS Info Systems Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Bulk,Purchase,45148,356,1190527,0.0076,
Goldman Sachs India Limited,360 One Wam Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,45146,500,1492910,0.0042,
Goldman Sachs India Limited,360 One Wam Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,45146,500,222992,0.0006,
Goldman Sachs India Limited,Spandana Sphoorty Financial Ltd.,GOLDMAN SACHS FUNDS GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Purchase,45138,830,357532,0.005,
Goldman Sachs India Limited,Landmark Cars Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Purchase,45100,658,277850,0.0067,
Goldman Sachs India Limited,Landmark Cars Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Block,Purchase,45100,658,277850,0.0067,
Goldman Sachs India Limited,Avalon Technologies Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Purchase,45034,412.91,350230,0.0053,
Goldman Sachs India Limited,Landmark Cars Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Purchase,44918,466.55,392421,0.0095,
Goldman Sachs India Limited,"Sula Vineyards Ltd.

Dividend High Loss High Volume",GOLDMAN SACHS FUNDS GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Purchase,44917,351.48,695864,0.0082,
Goldman Sachs India Limited,Kaynes Technology India Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Purchase,44887,705.28,466038,0.0073,
Goldman Sachs India Limited,Bikaji Foods International Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Purchase,44881,324.5,1745354,0.007,
Goldman Sachs India Limited,Paradeep Phosphates Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Purchase,44708,45.95,4132211,0.0051,
Goldman Sachs India Limited,C.E. Info Systems Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Purchase,44551,1392.99,376708,0.007,
Goldman Sachs India Limited,RateGain Travel Technologies Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Purchase,44547,361.71,719727,0.0061,
Goldman Sachs India Limited,SJS Enterprises Ltd.,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,NSE,Bulk,Purchase,44515,527.04,254786,0.0082,
Goldman Sachs India Limited,APL Apollo Tubes Ltd.,GOLDMAN SACHS FUNDS GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Bulk,Purchase,44474,870.9,2908770,0.0105,
Goldman Sachs India Limited,APL Apollo Tubes Ltd.,GOLDMAN SACHS INDIA FUND LIMITED,BSE,Bulk,Sell,44474,870.9,2908770,0.0105,
Goldman Sachs India Limited,APL Apollo Tubes Ltd.,GOLDMAN SACHS FUNDS GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BSE,Block,Purchase,44474,870.9,2908770,0.0105,
Goldman Sachs India Limited,APL Apollo Tubes Ltd.,GOLDMAN SACHS INDIA FUND LIMITED,BSE,Block,Sell,44474,870.9,2908770,0.0105,
